KEY,FREQ,REF_AREA,COUNT_AREA,COUNTERPART_SECTOR,CB_ITEM,SBS_BREAKDOWN,SBS_DI_1,SBS_DI_2,CB_EXP_TYPE,DATA_TYPE,BS_SUFFIX,SBS_SAMPLE_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,COMPILING_ORG,COVERAGE,COVERAGE_SECTOR,DATA_COMP,DECIMALS,DISS_ORG,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MEASURE,UNIT_MULT
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2020-04-01,297.1616,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2020-07-01,295.7409,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2020-10-01,256.7173,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2021-01-01,261.8673,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2021-04-01,279.8284,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2021-07-01,272.6156,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2021-10-01,232.1556,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2022-01-01,238.5685,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2022-04-01,235.7362,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2022-07-01,235.7426,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2022-10-01,288.1547,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2023-01-01,286.7563,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2023-04-01,287.6346,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2023-07-01,301.411,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2023-10-01,296.5939,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2024-01-01,297.853,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2024-04-01,302.3574,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.DOM.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,DOM,SII,_Z,ALL,LE,E,C,2024-07-01,301.8653,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with significant domestic exposures, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2020-04-01,608.9175,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2020-07-01,505.5489,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2020-10-01,619.4806,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2021-01-01,306.2977,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2021-04-01,302.2247,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2021-07-01,306.7398,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2021-10-01,359.6442,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2022-01-01,379.5343,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2022-04-01,329.8143,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2022-07-01,344.3652,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2022-10-01,344.047,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2023-01-01,346.8275,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
SUP.Q.B01.W0.S11.E0035.EEA.SII._Z.ALL.LE.E.C,Q,B01,W0,S11,E0035,EEA,SII,_Z,ALL,LE,E,C,2023-04-01,398.8174,A,F,,,P3M,,,,,4,,,,,E,"Loans and advances (excluding cash balances at central banks and other demand deposits), SIs","Amount of exposures - loans and advances (excluding cash balances at central banks and other demand deposits), Significant institutions, EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Classification by geographical diversification - banks with largest non-domestic exposures in non-SSM EEA, World (all entities, including reference area, including IO), Non financial corporations, All exposures, Euro",EUR,9
